init_state,found,time_millis,steps,solution
4 6 3 5 2 0 8 1 7,1,98,25,U L D D R U U L D D L U R R D L L U U R R D L D R
1 5 6 2 0 7 4 3 8,0,3068,NA,NA
4 3 8 1 2 7 5 0 6,1,18,23,R U U L D D R U L L D R R U U L D L U R R D D
2 1 5 3 7 8 0 4 6,0,3040,NA,NA
5 4 7 2 8 6 3 1 0,1,195,28,U U L L D D R U R D L U L D R R U L U R D L U L D R R D
1 7 6 4 2 8 3 5 0,0,3634,NA,NA
8 5 7 2 3 1 0 6 4,0,3186,NA,NA
4 3 6 7 1 8 0 2 5,0,3417,NA,NA
6 0 3 8 1 4 7 5 2,1,64,25,D L U R R D D L U R U L D L D R U R D L L U R R D
3 8 7 1 2 4 5 6 0,0,2856,NA,NA
8 0 6 3 4 1 2 7 5,0,2925,NA,NA
4 7 3 5 0 2 6 8 1,0,2900,NA,NA
7 2 6 0 3 1 8 5 4,0,3139,NA,NA
8 4 0 3 7 2 5 6 1,0,2992,NA,NA
5 8 6 7 0 2 4 3 1,1,197,28,U R D D L U R D L L U R U R D L D R U U L L D R U R D D
4 2 7 5 3 0 6 8 1,0,3088,NA,NA
8 6 2 5 7 4 0 1 3,0,3025,NA,NA
0 7 8 6 5 2 3 1 4,0,3045,NA,NA
2 8 1 3 6 0 5 7 4,0,3179,NA,NA
2 0 7 6 5 8 4 1 3,1,153,27,D L D R U R D L U U R D L L D R U U L D R D L U R R D
7 4 1 8 0 2 5 3 6,1,5,16,D L U U R R D L D L U U R R D D
7 0 1 3 8 4 5 6 2,1,9,21,R D D L U L U R R D L U R D D L L U R D R
4 1 8 5 2 6 0 3 7,0,2921,NA,NA
8 1 6 0 2 7 4 5 3,1,21,21,U R D D R U U L D D R U L L D R U U R D D
2 8 3 1 5 4 7 0 6,1,2,15,U U L D D R U R D L L U R D R
3 7 5 4 6 2 1 0 8,0,2999,NA,NA
7 2 1 4 3 5 8 0 6,0,3157,NA,NA
0 7 1 5 2 6 4 8 3,0,3049,NA,NA
5 2 6 1 7 8 0 4 3,0,2923,NA,NA
5 2 3 4 1 8 0 7 6,1,0,14,U R R U L L D D R U U R D D
0 4 5 3 1 7 8 2 6,1,16,20,R D L U R D R U L L D R D L U U R D R D
6 2 5 7 3 0 1 8 4,1,78,25,L L D R R U U L L D R D L U R R D L U U R D L D R
1 3 2 7 6 8 4 5 0,1,31,20,U L L D R U U L D D R R U L L U R R D D
4 5 2 3 7 8 0 6 1,0,2926,NA,NA
3 6 0 1 2 8 7 5 4,1,0,16,L L D D R R U U L D D L U R D R
3 5 7 2 0 8 6 4 1,1,203,26,D R U U L L D R D L U R R D L U R U L L D D R U R D
2 0 4 8 6 1 7 5 3,1,15,19,R D D L U L U R R D D L U L U R D R D
6 5 1 7 4 3 0 2 8,0,3262,NA,NA
3 2 1 4 5 0 8 6 7,0,3296,NA,NA
5 6 7 4 3 0 1 8 2,1,36,25,U L D R D L U R U L D L D R R U U L L D R U R D D
7 4 5 3 6 1 8 0 2,0,3692,NA,NA
4 0 8 5 6 3 1 2 7,0,4453,NA,NA
5 0 2 8 6 4 7 1 3,0,4758,NA,NA
1 3 5 2 6 8 0 7 4,0,4549,NA,NA
8 5 3 0 2 7 4 1 6,1,46,25,U R D L D R U R D L U L D R R U U L L D R U R D D
8 6 1 7 0 3 4 2 5,1,32,26,U R D L D L U U R D D R U L L D R U R D L L U R D R
0 3 1 7 2 5 6 4 8,1,131,24,R R D L L D R U L U R R D L L D R R U L U R D D
8 6 0 3 1 2 7 4 5,1,38,26,L D L U R D R U L D D R U L L D R U R D L L U R D R
4 7 3 8 6 5 1 2 0,0,2999,NA,NA
6 7 0 4 1 8 5 2 3,1,200,28,L D D L U U R D R U L D R D L U L D R U U R D D L U R D
4 0 5 8 7 1 3 2 6,1,31,23,R D D L L U R D R U L U R D L D L U U R D R D
3 2 5 0 8 4 1 6 7,1,67,25,R D R U L L D R U U L D D R R U U L D D L U R R D
2 4 5 1 6 7 8 3 0,1,49,26,U L D R U L U R D D L U U L D D R R U L L D R U R D
1 4 0 7 3 5 8 2 6,1,4,16,L D D R U U L D R D L L U R R D
3 8 1 6 7 2 5 0 4,0,2769,NA,NA
2 8 6 5 1 7 4 3 0,0,3242,NA,NA
7 4 6 1 0 8 5 2 3,1,30,20,L U R D D R U L D L U U R D R U L D D R
0 2 7 4 8 6 3 1 5,1,211,30,D D R U L U R D L D R R U U L L D R D L U R R D L U L D R R
6 2 0 7 4 1 5 3 8,0,2952,NA,NA
1 4 5 0 2 7 3 8 6,0,4868,NA,NA
6 0 4 5 8 3 1 7 2,1,27,25,L D D R U U R D L U L D R U R D D L U R U L D D R
4 7 3 8 2 1 0 6 5,1,12,18,U R U L D R R D L L U R U L D R R D
7 0 6 1 3 8 5 2 4,0,4901,NA,NA
0 1 3 6 7 5 2 4 8,0,3640,NA,NA
8 3 7 0 2 4 1 6 5,0,3720,NA,NA
6 5 4 0 8 7 1 3 2,1,97,25,R R D L U L D R U U R D D L U U L D R U R D L D R
7 5 2 8 0 4 3 6 1,0,4041,NA,NA
0 7 5 4 3 8 2 6 1,1,46,24,R D R D L U R U L D L D R U L U R D D L U R R D
2 4 0 5 7 3 1 6 8,0,4088,NA,NA
5 2 4 6 1 7 0 3 8,1,47,22,U R R U L L D R R D L L U R R D L U U R D D
4 7 6 1 5 3 2 0 8,0,3580,NA,NA
0 1 3 7 2 6 4 8 5,1,0,20,R D L D R R U L D L U R R D L U L D R R
5 4 3 1 2 7 6 8 0,1,156,30,U L U L D R D L U R D R U L L D R U U R D D L U R U L D D R
1 8 2 4 3 0 6 5 7,1,6,17,L U R D L D L U R D R U L L D R R
0 3 1 7 2 4 8 5 6,1,75,22,D R R U L D L U R D R U L D D L U U R R D D
6 7 4 8 2 3 1 5 0,0,2908,NA,NA
5 3 4 8 1 6 7 0 2,1,22,23,R U U L D D L U U R D D L U R R D L L U R D R
0 5 7 1 4 3 2 8 6,0,3062,NA,NA
0 1 4 7 8 5 3 6 2,1,15,22,R R D D L U U R D D L L U R D R U L U R D D
1 7 4 0 6 8 5 2 3,0,2950,NA,NA
3 5 6 7 2 0 8 1 4,1,31,25,L D L U R U L D R R U L D L D R R U L D L U R R D
4 6 5 7 2 3 8 1 0,1,57,22,U U L D D R U U L D D R U L D L U U R R D D
6 4 0 5 3 2 7 8 1,1,16,22,D L L U R R D D L U R U L D L U R R D L D R
6 2 3 4 8 7 5 1 0,1,19,22,U L D L U R D R U U L L D D R U U R D L D R
2 7 8 6 1 4 5 0 3,0,2880,NA,NA
8 4 6 1 2 5 0 7 3,1,86,22,R R U L U L D R U R D L D R U L U R D L D R
3 4 1 5 8 0 7 2 6,1,21,21,D L U L U R R D D L U L U R D R U L D D R
1 2 7 5 4 3 0 8 6,1,8,18,U U R R D L U L D R R D L L U R D R
0 7 3 1 6 8 5 2 4,1,7,20,D D R R U L U L D D R U L U R D L D R R
7 2 8 1 6 4 5 0 3,0,3025,NA,NA
6 1 2 4 5 0 3 8 7,1,47,23,D L L U U R D R D L U L D R U R D L U U R D D
7 3 4 0 2 8 6 1 5,1,42,23,R D R U U L D L U R D R D L L U R R D L U R D
7 0 5 2 6 1 8 3 4,1,17,21,R D L D R U L U R D L L U R D D L U R R D
2 7 5 1 4 6 0 3 8,0,3588,NA,NA
1 0 6 7 8 3 5 2 4,0,3221,NA,NA
4 5 0 7 1 2 8 6 3,0,3260,NA,NA
1 0 2 6 4 3 8 5 7,1,12,19,R D D L U L D R U R D L U L D R U R D
2 4 5 3 6 7 8 0 1,0,2724,NA,NA
6 5 1 0 4 7 8 3 2,1,47,23,R R D L L U U R R D D L U L U R R D L L D R R
2 5 3 8 4 0 7 6 1,0,2884,NA,NA
2 6 0 1 7 5 4 3 8,0,3031,NA,NA
6 2 1 4 5 0 7 8 3,1,0,17,D L U U L D R U R D L L U R D D R
4 5 1 6 7 0 2 3 8,1,15,21,D L U L D R U R D L U U R D L L U R D R D
0 3 5 6 8 1 4 7 2,1,94,26,D D R U R U L D D R U L D L U U R D L D R R U L D R
1 4 3 5 0 7 8 2 6,1,16,18,U L D R D L U U R D R D L U L D R R
7 5 1 8 2 3 0 6 4,0,2859,NA,NA
7 4 3 0 6 1 2 5 8,1,44,23,U R R D L D L U R D R U L U R D L L U R R D D
8 4 2 0 5 3 6 7 1,1,41,25,U R R D L L D R U R D L U R U L D L U R R D L D R
3 6 5 4 1 8 2 0 7,0,2859,NA,NA
5 8 4 3 0 1 7 2 6,0,2946,NA,NA
0 8 2 1 4 5 6 3 7,0,2885,NA,NA
5 3 7 8 0 1 2 4 6,1,0,20,R U L D L D R U L U R D R D L U L D R R
2 3 4 5 7 8 6 0 1,0,2923,NA,NA
0 5 3 7 1 2 8 6 4,0,2949,NA,NA
7 3 4 0 2 5 6 1 8,0,2680,NA,NA
4 3 0 8 6 5 1 2 7,0,2931,NA,NA
0 6 2 4 5 8 3 7 1,0,2972,NA,NA
5 2 8 7 0 6 1 4 3,1,39,20,L D R U R U L L D D R U R D L U U R D D
2 1 7 0 4 3 5 6 8,1,141,23,R U R D L U L D R R U L D D L U U R R D L D R
4 5 6 3 1 0 7 2 8,1,2,15,U L D L U R D D R U U L D R D
8 7 5 0 1 3 4 6 2,1,62,21,U R D R D L L U U R D R U L D D L U R R D
6 4 2 0 7 8 3 5 1,0,3418,NA,NA
6 5 8 1 3 7 4 2 0,1,0,20,U L U L D R R U L D D R U U L D L D R R
8 5 2 3 4 7 6 1 0,0,2677,NA,NA
0 2 4 7 5 8 3 6 1,1,32,24,R D D R U L D L U R D R U L U R D L U L D R R D
5 0 4 8 6 2 7 1 3,1,51,23,R D D L U L U R R D D L U R U L D L U R R D D
0 4 7 3 8 6 5 1 2,0,2705,NA,NA
2 4 7 0 3 5 6 1 8,1,102,25,D R R U L U R D L L D R U U L D R R D L L U R R D
3 6 5 4 2 0 8 7 1,0,3009,NA,NA
2 8 7 1 3 4 6 0 5,0,2733,NA,NA
3 7 1 4 8 5 2 0 6,1,31,23,U U L D R U R D D L L U U R D D R U U L D R D
2 0 8 6 4 5 3 1 7,1,110,25,L D R D L U R D R U U L L D D R R U L U R D L D R
2 4 6 8 3 7 5 1 0,1,149,28,U U L D D L U R D R U U L L D R D L U R R D L L U R D R
