init_state,found,time_millis,steps,solution
2 3 0 6 8 7 1 4 5,1,0,18,L D L D R U R D L U U L D D R U R D
3 7 0 6 2 8 1 4 5,0,2719,NA,NA
5 3 8 6 2 7 4 1 0,1,9,20,U U L D D R U U L D L U R R D L L D R R
8 6 5 2 3 4 1 7 0,0,2939,NA,NA
5 0 1 8 2 3 7 4 6,0,3124,NA,NA
4 8 2 1 3 0 5 7 6,0,2953,NA,NA
6 4 3 2 0 7 1 5 8,0,2933,NA,NA
5 8 4 6 2 0 3 1 7,1,88,25,L U R D L L D R R U L L D R R U L U L D R U R D D
3 2 6 0 5 8 4 1 7,1,16,21,R D R U U L D L U R D L D R R U L U R D D
0 3 6 7 4 5 2 1 8,0,2979,NA,NA
4 6 5 8 3 0 1 2 7,1,72,23,U L D L D R R U L L D R R U U L D L U R D D R
6 2 8 0 1 7 3 5 4,0,2956,NA,NA
4 6 8 5 7 0 3 2 1,0,2691,NA,NA
4 5 6 0 1 2 7 8 3,0,3105,NA,NA
8 0 1 3 4 7 5 6 2,1,31,21,D R D L U L U R R D L L D R U L U R R D D
1 7 6 2 0 8 4 5 3,1,32,20,U R D D L U R U L D L D R R U U L D D R
0 8 4 2 1 5 3 6 7,1,218,26,D R D L U R D R U L L D R U U R D D L U U L D R R D
7 1 6 4 8 5 2 3 0,0,3090,NA,NA
0 5 7 6 3 1 8 2 4,0,2811,NA,NA
5 4 7 6 1 8 3 2 0,0,2629,NA,NA
0 6 5 2 4 3 1 7 8,0,3147,NA,NA
4 5 7 3 6 1 8 2 0,0,2856,NA,NA
6 0 2 4 8 3 7 5 1,1,47,25,R D D L U R D L L U R R U L L D D R U U R D L D R
5 8 7 0 4 6 2 1 3,1,189,27,D R U U L D D R U R U L D R D L U U R D L U L D D R R
3 1 7 4 8 0 2 5 6,1,168,27,U L L D D R U R D L U L D R R U L U R D L L U R R D D
2 5 0 4 7 1 6 8 3,0,2905,NA,NA
8 5 0 3 2 4 7 1 6,0,2904,NA,NA
6 8 2 7 0 5 1 4 3,1,0,20,L D R U U L D D R U R D L U U R D L D R
2 1 3 0 6 5 8 7 4,0,3002,NA,NA
2 7 0 5 3 6 4 1 8,0,3056,NA,NA
1 8 0 3 2 5 7 6 4,0,2963,NA,NA
0 4 3 6 7 8 1 2 5,1,31,20,D D R U L U R D L D R R U L L U R D D R
6 1 2 8 3 5 0 4 7,1,0,18,R R U L L U R R D L L D R R U L D R
7 1 6 8 5 3 2 0 4,1,16,21,L U U R D R U L D D R U U L D D L U R R D
0 7 3 8 5 1 4 2 6,0,2878,NA,NA
4 6 1 3 8 0 2 7 5,1,0,17,L L D R R U L U R D L L U R D D R
5 4 8 3 7 2 1 0 6,1,32,21,U L U R R D L U L D D R U U L D R U R D D
4 5 8 1 3 6 2 7 0,0,2948,NA,NA
5 6 7 1 0 8 4 3 2,1,75,26,R D L U R U L D R D L U R U L L D D R R U L U R D D
5 3 1 7 6 8 4 2 0,1,33,22,U L D R U L U R D L L U R R D D L U L D R R
6 7 4 8 5 2 1 3 0,0,2749,NA,NA
7 8 3 4 5 6 2 0 1,0,2771,NA,NA
1 4 7 5 3 2 8 0 6,1,41,21,L U U R R D L U L D R U R D D L L U R D R
7 3 8 6 2 0 1 5 4,0,3007,NA,NA
3 2 7 4 8 5 6 0 1,0,2784,NA,NA
6 5 2 3 7 0 4 8 1,0,2968,NA,NA
4 5 6 2 3 7 0 1 8,1,47,22,R R U U L D D R U U L L D D R U U L D R R D
2 7 4 5 6 1 8 3 0,0,2904,NA,NA
