init_state,found,time_millis,steps,solution
1 4 3 6 7 0 5 8 2,0,3368,NA,NA
4 1 3 0 6 7 8 5 2,0,3172,NA,NA
0 7 1 2 3 8 5 4 6,1,98,26,R R D L L U R D D L U R D R U U L D R D L U U R D D
5 2 8 4 0 3 1 7 6,1,12,18,L D R R U U L L D R R D L U U R D D
7 5 4 2 8 1 0 6 3,1,69,22,U R U R D D L L U U R R D L D L U U R D R D
1 7 4 3 6 5 2 8 0,0,2950,NA,NA
5 1 7 3 2 6 0 4 8,1,13,20,R R U L L U R D R U L D R D L U L D R R
7 3 4 6 5 1 8 0 2,1,123,23,U U R D L L U R R D L D R U L D L U U R D R D
2 5 4 7 6 3 8 0 1,0,3271,NA,NA
0 7 3 4 2 1 8 5 6,0,3346,NA,NA
7 0 2 5 4 6 8 3 1,0,3307,NA,NA
8 5 6 4 0 2 3 7 1,0,3176,NA,NA
6 5 2 1 8 3 0 4 7,0,3343,NA,NA
4 7 8 6 3 1 5 0 2,1,148,23,U U R D D L U L D R U U R D D L U L U R R D D
8 5 7 3 4 6 2 1 0,0,3039,NA,NA
5 1 8 0 7 3 2 4 6,1,43,19,D R U U L D R U R D L U L D D R U R D
7 1 8 0 5 6 2 3 4,0,3016,NA,NA
6 2 1 0 5 4 8 7 3,1,259,25,R D L U R R D L L U R U L D R U R D L L U R D D R
5 3 8 6 2 4 1 0 7,1,15,23,R U U L D L D R R U L D R U U L L D R U R D D
1 5 2 8 3 0 6 7 4,0,3311,NA,NA
3 5 1 2 7 6 8 4 0,0,2974,NA,NA
7 6 2 0 4 1 8 3 5,1,82,23,U R D R D L L U R U L D R R D L U U R D L D R
2 3 6 4 7 0 1 5 8,1,6,15,D L U L D R R U U L L D R D R
1 7 5 6 8 0 4 2 3,1,61,27,D L U U R D D L U L D R R U L U R D D L U R U L D D R
4 6 3 1 7 2 8 5 0,1,226,26,L U L U R D R D L L U U R D D R U L L D R R U L D R
2 1 5 3 8 6 4 0 7,0,3237,NA,NA
3 0 7 5 8 2 6 1 4,0,3548,NA,NA
2 7 5 8 1 6 3 0 4,0,4001,NA,NA
0 2 3 8 5 1 6 4 7,1,41,22,R D D L U R R D L L U R R D L U U L D D R R
6 5 8 0 7 4 3 1 2,0,3820,NA,NA
0 3 8 2 1 7 4 6 5,0,3428,NA,NA
2 1 6 4 7 5 0 8 3,0,3669,NA,NA
5 0 2 8 7 3 6 1 4,0,4264,NA,NA
5 8 0 4 3 6 1 7 2,1,144,28,L D L D R R U U L L D R R D L U U R D D L U R U L D D R
1 5 0 7 6 2 3 8 4,0,3862,NA,NA
4 2 1 7 3 5 0 6 8,0,3428,NA,NA
3 6 0 7 2 5 1 4 8,0,2991,NA,NA
0 4 7 3 1 8 2 5 6,0,3242,NA,NA
8 2 4 0 5 3 6 1 7,1,73,27,U R R D L D L U R U L D R R D L L U R R D L U L D R R
0 5 6 8 3 7 4 1 2,1,78,26,R D D R U U L D D L U U R D L D R R U L L D R U R D
2 7 1 6 3 4 8 5 0,1,32,22,U L L U R R D L L U R D D R U L D L U R R D
1 6 3 0 2 8 5 7 4,1,108,21,U R D D R U U L L D R U R D L D L U R D R
2 6 3 0 5 8 4 1 7,1,16,17,R D L U R U L D D R R U L L D R R
1 7 8 4 6 0 3 5 2,0,3080,NA,NA
1 2 8 4 7 0 5 3 6,1,47,19,U L L D R D R U L D L U U R R D L D R
8 7 0 4 3 1 6 5 2,0,2948,NA,NA
6 5 4 7 2 0 1 3 8,1,233,27,L D L U U R R D L L U R R D L D R U U L D L U R R D D
1 0 7 2 4 5 3 8 6,1,125,25,R D D L U U L D D R U L U R D L D R R U U L D R D
7 2 8 6 1 0 4 5 3,1,47,21,U L D D L U U R D D L U R R D L U U R D D
0 2 6 1 5 7 4 8 3,0,3250,NA,NA
8 6 0 4 5 1 2 3 7,1,94,24,L D R U L D D L U U R D D R U U L D L D R U R D
8 7 0 3 5 6 2 4 1,0,2879,NA,NA
5 0 1 8 3 7 6 4 2,1,155,23,D L D R U R D L U U R D L L U R R D L L D R R
0 3 5 4 6 8 1 7 2,0,3113,NA,NA
4 3 5 1 2 7 8 6 0,0,3091,NA,NA
8 2 7 5 4 1 6 3 0,0,2888,NA,NA
6 4 0 2 7 1 8 3 5,1,94,24,L L D R R D L L U R R D L U U R D L U L D R D R
6 5 2 1 0 8 7 3 4,0,3395,NA,NA
0 4 6 3 2 5 8 7 1,1,245,26,R D D L U R R D L L U R R U L D D R U L L U R R D D
1 5 2 8 3 4 0 7 6,1,31,22,R R U L U R D D L U L D R U R D L L U R D R
5 1 4 3 0 2 8 7 6,1,26,20,L U R D R U L D D L U R R D L L U R D R
8 1 7 3 5 4 6 2 0,0,3177,NA,NA
3 7 6 8 2 5 0 1 4,1,31,22,U R U L D R D L U R R D L U R U L L D R D R
2 1 6 3 5 0 8 4 7,0,2935,NA,NA
8 3 2 0 1 5 6 4 7,1,31,21,R U L D D R R U L U R D L L D R R U L D R
4 0 1 8 2 7 6 5 3,1,16,19,D R D L L U R U R D D L L U U R D R D
8 5 2 6 4 0 3 1 7,1,560,27,D L L U U R D R D L L U R R D L L U R U L D R U R D D
7 5 8 2 1 4 6 0 3,1,75,23,U L U R D D L U R R U L L D R R D L U U R D D
2 7 4 6 5 3 0 1 8,1,16,20,R U U R D D L U L D R R U L U L D R D R
1 6 4 7 8 0 2 3 5,1,31,21,L D R U U L D R D L L U R D R U U L D D R
1 6 2 5 4 3 8 7 0,1,15,18,L U U R D L L D R R U L L D R U R D
7 6 4 3 1 8 5 2 0,0,3145,NA,NA
2 4 1 3 0 6 8 7 5,0,2955,NA,NA
5 1 8 6 3 2 7 4 0,1,115,24,L L U U R D R U L D D L U R D R U L D L U R D R
5 2 4 6 0 8 3 1 7,0,3210,NA,NA
7 3 6 5 2 0 1 4 8,1,0,17,U L D L U R D L D R U U L D D R R
5 7 4 2 8 3 6 1 0,1,186,24,U L U L D R D L U R R D L U U R D L U L D R R D
4 8 1 0 7 2 5 6 3,0,3137,NA,NA
4 1 6 3 2 8 7 0 5,1,0,13,U L U R D D R U U L D D R
4 2 5 3 7 6 0 8 1,0,3010,NA,NA
8 5 2 7 1 3 4 0 6,1,52,21,L U U R D L D R U L U R R D D L U L D R R
7 6 2 5 4 1 3 8 0,0,2832,NA,NA
0 6 3 5 2 1 8 7 4,1,141,24,R D D L U R R D L L U R R U L L D R U R D L D R
8 1 5 4 2 7 3 6 0,1,69,22,U L D L U U R R D L D R U L L D R U U R D D
1 4 2 6 0 7 8 5 3,0,3102,NA,NA
7 3 5 0 1 6 2 8 4,1,16,17,D R R U U L D L U R D D L U R R D
0 2 1 8 3 4 7 5 6,1,46,22,R D R U L D L D R U R D L L U R U L D R D R
6 4 7 8 1 3 2 5 0,0,2920,NA,NA
1 8 6 5 0 2 4 7 3,0,3087,NA,NA
5 7 1 3 0 8 4 6 2,0,2982,NA,NA
